year,source_category,quantity_co2e_tonnes,facility_id
2024,Fugitives (Flaring),35813.5188,195
2024,Fugitives (Leakage),491.6436,195
2024,Stationary Fuel Combustion,591124.089,195
2024,Fugitives (Venting),162339.0963,195
2024,Wastewater,267.9468,195
2024,Stationary Fuel Combustion,21484.632,1125
2024,On-site Transportation,27.10865,1125
2024,Stationary Fuel Combustion,29899.1105,717
2024,On-site Transportation,4.129787,717
2024,CO2 from Biomass Combustion,0.0,124
2024,Stationary Fuel Combustion,113968.4342,124
2024,On-site Transportation,2390.8897,124
2024,Fugitives (Flaring),208825.2526,1038
2024,Fugitives (Leakage),4.638338,1038
2024,Stationary Fuel Combustion,478643.8777,1038
2024,On-site Transportation,1117.222817,1038
2024,Fugitives (Venting),21137.52651,1038
2024,Wastewater,8.388352,1038
2022,Fugitives (Flaring),173.7315,1605
2022,Fugitives (Leakage),359.0804,1605
2022,Stationary Fuel Combustion,11797.8649,1605
2022,Fugitives (Venting),164.5385,1605
2023,Fugitives (Flaring),52.0222,1705
2023,Fugitives (Leakage),23.5955,1705
2023,Stationary Fuel Combustion,13246.9837,1705
2023,Fugitives (Venting),384.6376,1705
2023,Fugitives (Flaring),151.8127,1605
2023,Fugitives (Leakage),82.4751,1605
2023,Stationary Fuel Combustion,11656.4753,1605
2023,Fugitives (Venting),243.9526,1605
2024,Fugitives (Leakage),16543.016,215
2024,Stationary Fuel Combustion,592413.2148,215
2024,Industrial Process,3147374.0,215
2024,On-site Transportation,13658.99,215
2024,Stationary Fuel Combustion,5056.1219,31
2024,Industrial Process,215907.8626,31
2024,On-site Transportation,91.7749,31
2024,Stationary Fuel Combustion,128839.39,48
2024,Stationary Fuel Combustion,9531.4204,1189
2024,CO2 from Biomass Combustion,0.0,136
2024,Stationary Fuel Combustion,233605.576,136
2024,Industrial Process,432930.5714,136
2024,On-site Transportation,1916.4271,136
2024,Stationary Fuel Combustion,11068.1607,805
2024,On-site Transportation,97.2302,805
2024,Wastewater,63.2532,805
2024,Stationary Fuel Combustion,21938.874,711
2023,Stationary Fuel Combustion,10740.6769,805
2023,Industrial Process,1.4799,805
2023,On-site Transportation,115.70247,805
2023,Wastewater,131.230065,805
2022,CO2 from Biomass Combustion,0.0,859
2022,Waste,17035.264,859
2024,Stationary Fuel Combustion,9223.813996,1243
2024,Stationary Fuel Combustion,28192.3656,307
2024,Stationary Fuel Combustion,22310.6926,646
2024,Industrial Process,9644.1275,646
2024,On-site Transportation,376.499,646
2024,Stationary Fuel Combustion,63511.7355,281
2024,Industrial Process,17749.0,281
2024,On-site Transportation,510.3761,281
2024,Stationary Fuel Combustion,12677.1427,1146
2024,Stationary Fuel Combustion,10200.691,1496
2024,On-site Transportation,533.042,1496
2024,CO2 from Biomass Combustion,0.0,238
2024,On-site Transportation,1253.657,238
2024,Waste,109060.0,238
2024,Stationary Fuel Combustion,22686.4339,1201
2024,Industrial Process,9185.5,1201
